
241,9,18.9,1.96,0.09
348,9.3,16.5,1.89,0.14
154,5.2,15.5,1.84,0.17
265,7.4,14.3,2.02,0.07
288,6.7,15.5,1.96,0.07
250,6.6,17.1,1.65,0.08
185,6.8,16.3,1.53,0.06
161,7.1,16.9,1.51,0.08
195,7.7,15.5,1.57,0.09
199,8.4,18.3,1.61,0.07
199,8.8,24.1,1.65,0.07
256,8.7,28.5,1.77,0.08
322,7.9,24.5,1.8,0.07
370,6.8,25.1,2.09,0.08
182,6.1,17.4,2.18,0.07
342,9.3,15.8,1.98,0.08
214,8.4,14.5,2.02,0.08
184,7.7,20.8,1.99,0.08
200,8.2,26.5,1.97,0.07
182,5.6,28.7,1.87,0.07
228,7.1,29.9,1.9,0.06
198,7.5,24.2,1.82,0.06
269,8.3,19.6,1.93,0.06
228,6.6,25.8,2.06,0.06
236,6.6,22.7,1.89,0.07
194,6.4,20.3,1.75,0.07
187,6.3,23.8,1.6,0.08
258,6.7,10.9,1.76,0.09
203,7.2,21.5,1.76,0.08
213,8,26.5,1.91,0.12
211,7.3,23.2,1.88,0.07
260,6.3,19.4,1.84,0.11
199,7.7,16.3,1.92,0.07
205,10.1,16.5,1.45,0.07
175,11.5,18.1,1.52,0.12
124,24,23,0.92,0.47
114,49,15,0.86,0.1
332,4.01,54,1.04,2.1
66,11.7,20,1,0.56
150,19.4,37,1.86,0.3
91,15,27,1.77,0.16
87,17.8,24,1.3,0.08
110,7.61,25,1.96,0.06
233,17.2,38,1.45,0.03
234,17.4,38,1.42,0.07
205,16.9,26,1.37,0.06
202,15.9,27,1.17,0.08
198,60,20.9,0.9,0.209
158,74,19.3,0.72,0.14
156,46,16,0.84,0.155
143,49,22.1,0.77,0.052
149,52,23.4,0.8,0.123
136,73,23.5,0.68,0.07
138,73,26.9,0.66,0.121
