Number	qtype	Al	Ti	Li	Ge	Sr
3014	greisen	29.2	2.7	2	0.1	0.35
3015	greisen	69.3	0.6	14	0.8	0.07
3016	greisen	103.2	0.9	33.1	0.9	0.04
3017	greisen	35.8	4	3.3	0.1	0.04
3018	greisen	45.1	2.5	1.7	0.1	0.07
3019	greisen	45.1	2.1	2.6	0.1	0.12
3020	greisen	141.1	5.9	3.2	0.1	0.31
3021	greisen	63.6	1.5	3.6	0.6	0.12
3022	greisen	76.6	5.2	3.4	0.3	0.06
3023	greisen	58.9	1.5	2.1	1.5	0.05
3024	greisen	82.3	10.2	2.1	2	0.05
3025	greisen	112.6	13.1	2.5	2.2	0.08
3026	greisen	78.7	10.9	9.7	2.2	0.08
3027	greisen	116.3	11.6	2	1.8	0.04
3028	greisen	130.7	12.4	1.8	2	0.05
3029	greisen	94.2	10.1	3.1	2	0.03
3030	greisen	151.4	8	2.7	2.1	0.08
3031	greisen	179.4	9.4	3.3	2.5	0.22
3032	greisen	80.7	6.6	0.3	1.9	0.02
3033	greisen	10.2	1.2	0.6	0.9	0.06
3034	greisen	37	2.1	1.4	0.2	0.04
3035	greisen	8.2	1.5	1.4	1.9	0.08
3036	greisen	150.5	4	20.7	1.1	0.07
3037	greisen	187.7	0.8	27.9	1.7	0.06
3038	greisen	93	2.9	9.3	0.8	0.02
3039	greisen	136.4	0.9	36.1	1.3	0.05
3040	greisen	165.9	1.6	34.9	1.7	0.05
3041	greisen	148.7	1.6	24.1	1	0.07
3042	greisen	112.5	2.9	35.6	1.4	0.06
3043	greisen	41.5	2.7	0.7	0.8	0.04
3044	greisen	88.1	2.7	1.6	0.9	0.04
3045	greisen	119.3	0.8	9.3	1.7	0.09
3047	greisen	154	1.1	7.5	1.9	0.54
3048	greisen	172.3	2.8	36.1	2.4	0.05
3049	greisen	132.7	2.7	32.2	2.2	0.05
3050	greisen	186.2	2.2	23.5	2	0.03
3051	greisen	63.2	0.9	1	0.6	0.08
3052	greisen	74.5	1.4	9.8	0.7	0.07
3053	greisen	28.1	0.7	4	0.7	0.06
3054	greisen	55.9	1	4.2	0.8	0.06
3055	greisen	52.5	0.4	5.3	0.9	0.05
3056	greisen	30.9	1.2	4.7	1.1	0.07
3057	greisen	136.1	0.6	8.6	1.3	0.06
3058	greisen	110.5	2	10.4	0.4	0.04
3059	greisen	104.7	0.8	10.9	0.5	0.05
3061	greisen	101.4	1.8	16.8	0.6	0.07
3062	greisen	102.9	1.5	12.6	0.6	0.05
3063	greisen	90.9	1.6	5.8	1	0.09
3064	greisen	139.2	0.9	4	1.4	0.09
3065	greisen	121	1.2	6.9	1.3	0.06
3066	greisen	51.3	0.7	5.3	0.9	1.15
3067	greisen	84.4	2.8	1.7	1.5	0.04
3068	greisen	137.3	1.5	9.2	1.9	0.07
3069	greisen	123.8	4.1	4.8	1.8	0.05
3070	greisen	70.8	4.4	7.4	1.5	0.04
3071	greisen	95.8	4.4	5.4	1.5	0.07
3072	greisen	68.3	0.8	6.6	1	0.06
3073	greisen	74.2	0.9	7.2	1	0.05
3074	greisen	30.2	0.7	2.5	1	0.05
3075	greisen	81.9	2.6	6.7	1.7	0.05
3076	greisen	81.2	1.7	5.3	1.5	0.12
3078	greisen	310	6.3	8.2	1.7	0.03
3079	greisen	188.9	4.5	1.6	1.8	0.06
3080	greisen	310.1	5.6	4.3	1.6	0.04
3081	greisen	95.6	6.9	14.3	1.8	0.06
3082	greisen	330.4	6.3	8.4	2.1	0.08
3083	greisen	90.7	6	7.8	1.6	0.14
3085	greisen	233.2	3.3	7.6	1.2	0.1
3086	greisen	97.4	5.9	13.3	1.6	0.06
3118	granite	158.1	70.35	1.08	0.57	0.63
3122	granite	303.06	88.84	0.5	1.12	1.68
3125	granite	480.73	42	0.72	0.76	3.25
3126	granite	480.73	42	0.72	0.76	3.25
3129	granite	443.99	47.32	0.53	0.63	1.79
3130	granite	366.62	84.65	0.72	0.56	4.63
3131	granite	198.49	59.8	2.64	0.68	3.4
3132	granite	342.42	82.43	0.39	0.61	2.49
3133	granite	352.47	60.59	1.17	0.66	2.8
3135	granite	336.96	75.71	0.35	0.62	1.98
3141	IRG	360.82	14.43	0.5	4.56	1.57
3142	IRG	418.96	14.61	0.67	3.85	1.31
3143	IRG	397.55	14.63	0.69	4	1.43
3144	IRG	261.07	11.7	0.75	4.63	1.47
3145	IRG	530.94	17.34	0.55	4.25	2.27
3146	IRG	587.17	18.25	0.53	4.32	2.42
3149	IRG	191.42	13.11	0.72	2.54	1.01
3152	IRG	308.45	24.49	0.5	2.37	1.27
3154	IRG	295	22.27	0.4	2.51	1.17
3157	IRG	270.87	21.79	0.5	2.39	1.14
3159	IRG	434.79	26.57	0.67	1.59	5.97
3160	IRG	382.59	20.79	0.71	1.52	4.74
3163	IRG	343.28	28.87	0.63	1.78	2.9
3164	IRG	443.21	32.71	0.66	2.26	2.98
3167	IRG	378.52	27.97	0.64	1.61	3.06
3168	IRG	357.18	34.88	0.85	2.47	8.36
3169	IRG	184.92	27.96	0.93	1.74	1.13
3170	IRG	214.71	25.65	0.36	2.04	2.53
3172	IRG	178.46	12.82	1.44	1.91	3.62
3173	IRG	217.59	10.98	1.98	3.7	4.25
3174	IRG	257.74	11.3	2.43	2.16	1.82
3175	IRG	239.88	18.85	0.93	2.3	3.31
3176	IRG	196.57	18.55	0.56	2.39	1.11
3177	IRG	302.74	19.28	0.57	2.19	3.12
3178	IRG	234.56	15.6	3.21	3.2	2.04
3179	IRG	204.93	16.54	0.54	2.03	1.76
3180	IRG	253.28	14.51	0.59	1.8	2.93
3181	IRG	211.09	15.06	0.51	1.76	2.24
3182	IRG	262.58	14.56	0.62	1.8	3.09
3183	IRG	303.11	15.64	1.84	2.23	2.22
3184	IRG	247.47	17.08	0.95	2.2	1.82
3185	IRG	251.09	25.6	0.51	2.31	9.69
3186	IRG	263.56	14.91	3.96	3.21	3.12
3187	IRG	253.87	14.32	0.75	3.35	2.92
3188	IRG	240.26	26.15	0.46	2.38	3.08
3189	IRG	363.1	15.86	0.9	2.74	3.02
3190	IRG	260.25	13.66	0.75	3.36	3.5
3191	IRG	367.98	40.22	1.15	1.74	1.17
3192	IRG	493.06	21.69	0.62	2.18	2.69
3193	IRG	743.13	22.58	0.7	2.09	2.69
3194	IRG	381.34	31.1	1.34	1.91	2.06
3195	IRG	668.93	32.01	1.59	3.47	3.74
3196	IRG	695.28	31.07	1.62	3.69	3.96
3197	IRG	239.01	24.8	0.55	1.71	5.13
3198	IRG	400.26	41.52	0.82	1.46	3.61
3199	IRG	466.83	37.06	1.16	1.3	4.82
3226	IRG	380.51	8.1	2.61	1.85	0.96
3237	IRG	418.96	11	2.44	1.58	0.94
3251	IRG	328.96	10.97	2.43	1.85	1.38
3259	IRG	555.34	15.36	3.18	2.09	1.59
3265	IRG	447.32	13.9	2.36	1.77	1.34
3266	IRG	385	7.05	2.08	1.96	1
3329	IRG	232.83	27.85	0.94	1.37	0.4
3332	IRG	384.32	13.13	3.48	1.48	1.33
3337	IRG	309.11	24.51	0.51	1.35	0.3
3338	IRG	264.1	21.63	0.35	1.36	0.37
3348	IRG	136.86	30.84	0.38	1.42	0.74
3364	IRG	113.08	29.99	0.85	1.6	0.25
3365	IRG	105.46	25.05	0.89	1.48	0.5
3366	IRG	134.52	35	0.81	1.43	0.43
3367	IRG	157.85	32.58	0.72	1.54	0.51
3368	IRG	173.99	30.64	0.64	1.6	0.56
3369	IRG	265.54	28.71	0.39	1.43	0.9
3377	IRG	174.89	27.36	0.42	1.46	0.73
3379	IRG	368.31	13.17	1.32	1.98	8.38
3382	IRG	293.08	31.94	0.48	1.34	1.03
3387	IRG	79.08	33.38	0.51	1.48	0.55
3407	IRG	315.04	11.84	2.05	1.54	2.4
3417	IRG	370.2	10.27	0.83	1.83	3.8
3419	IRG	257.46	9.94	2.34	1.3	3.92
3426	IRG	281.39	11.35	0.62	1.89	3.07
3491	IRG	78.08	6.35	1.83	1.66	1.05
3494	IRG	130.62	7.11	2.34	1.59	0.52
3504	IRG	80.64	7.4	0.77	1.38	0.4
3568	IRG	600.73	7.41	0.91	1.46	1.49
3573	IRG	200.18	7.95	8.42	1.63	0.58
3574	IRG	439.6	5.02	2.41	3.63	1.35
3579	IRG	508.76	12.98	0.78	1.59	1.68
3585	IRG	232.11	5.57	2.29	1.54	1.49
3588	IRG	112.74	5.59	2.95	1.37	1.39
3589	IRG	219.18	7.64	1.94	1.82	1.32
3605	IRG	470.47	12.61	1.74	1.76	2.08
3620	IRG	77.75	6.42	0.45	3.95	6.01
3622	IRG	227.4	7.2	3.54	4.19	3.94
3624	IRG	198.53	6.42	3.37	4.29	2.49
3625	IRG	265.53	7.32	4.68	3.72	3.92
3627	IRG	296.7	7.27	6.9	3.66	3.61
3628	IRG	267.76	7.79	3.42	3.27	4.36
3644	IRG	57.3	6.89	0.66	1.63	3.43
3645	IRG	66.27	4.01	0.35	1.51	1.9
3647	IRG	128.71	7.94	1.44	1.96	1.76
3648	IRG	74.3	5.7	3.13	1.43	2.14
3649	IRG	67.4	6.76	1.84	1.51	3.4
3650	IRG	84.92	5.84	1.16	1.76	1.35
3651	IRG	82.13	5.39	0.53	1.53	3.9
3652	IRG	87.42	7.2	1.16	1.37	3.38
3655	orogenic	96.11	33.43	1.78	1.22	0.6
3656	orogenic	167.72	36.96	9.36	1.5	1.09
3657	orogenic	223.84	39.79	0.75	1.24	1.29
3658	orogenic	138.35	29.18	8.44	1.29	0.62
3659	orogenic	158.35	36.98	4.86	1.34	0.47
3660	orogenic	285.39	27.91	0.63	1.74	1.36
3661	orogenic	413.17	27.31	0.69	1.59	0.47
3662	orogenic	355.03	31.41	0.66	1.64	0.79
3663	orogenic	458.07	34.63	0.82	1.38	1.7
3664	orogenic	369.58	28.89	0.46	1.63	0.43
3665	orogenic	500.52	28.22	0.48	1.6	0.54
3666	orogenic	301.43	25.17	0.69	1.41	0.38
3667	orogenic	625.21	30.93	0.72	1.64	0.5
3669	orogenic	234.97	8.7	0.85	1.07	0.33
3670	orogenic	331.68	8.21	0.82	0.99	0.7
3671	orogenic	274.88	8.98	6.43	0.87	0.63
3672	orogenic	244.69	9.6	0.78	1.14	0.67
3673	orogenic	254.11	8.7	3.9	0.81	0.32
3674	orogenic	131.34	7.57	2.16	0.85	0.27
3675	orogenic	464.25	9.21	8.59	0.81	0.42
3676	orogenic	201.79	9.21	0.81	0.97	0.4
3677	orogenic	187.84	9.69	3.78	0.84	0.27
3678	orogenic	4021.21	1.81	0.99	1.11	9.97
3679	orogenic	1635.02	1.68	0.99	1	9.69
3681	orogenic	2195.68	1.56	0.99	1.78	10.14
3682	orogenic	1642.35	1.73	0.99	1	9.59
3683	orogenic	2722.96	3.86	0.99	2.83	11.53
3685	orogenic	3729.38	2.43	0.99	1.68	5.36
3686	orogenic	3381.72	2.47	0.99	1.44	2.08
3687	orogenic	2690.49	2.01	0.99	2.01	13.36
3688	orogenic	2693.83	2.1	0.99	1.99	13.46
3689	orogenic	3642.88	2.26	0.99	1.7	4.56
3690	orogenic	3418.39	2.74	0.99	1.35	6.21
3691	orogenic	3175.76	3.55	0.99	1.32	9.08
3692	orogenic	3277.12	4.84	1	1.31	9.45
3693	orogenic	3674.03	2.31	0.99	1.84	11.94
3694	orogenic	3160.63	2.46	0.99	1.57	14.68
3695	orogenic	3467	2.89	0.99	2.07	9.31
3696	orogenic	3153.06	3.84	0.99	2.36	5.47
3697	orogenic	1976.5	1.9	1	9.19	3.95
3699	orogenic	3724.63	1.67	0.99	0.98	18.02
3701	orogenic	2569.64	3.09	1	1.69	0.97
3702	orogenic	2268.47	2.24	0.99	1.03	6.06
3703	orogenic	3622.59	3.24	0.99	0.96	18.75
3704	orogenic	2894.74	2.95	0.99	1.03	15.49
3718	orogenic	161.4	4.02	0.82	0.62	0.27
3720	orogenic	122.17	2.61	4.27	0.69	0.32
3721	orogenic	212.04	4.7	5.43	0.57	0.43
3723	orogenic	140.7	3.45	2.4	0.73	0.35
3724	orogenic	270.43	3.67	3.65	0.51	0.5
3725	orogenic	159.37	10.21	5.14	0.82	1.15
3726	orogenic	220.04	3.06	1.2	0.69	0.44
3727	orogenic	87.63	5.67	6.11	0.71	0.41
3728	orogenic	98.65	4.67	2.31	0.56	0.76
3729	orogenic	102.27	3.56	4.75	0.6	0.76
3731	orogenic	166.75	4.06	0.92	0.71	0.49
3732	orogenic	143.13	5.25	5.02	0.63	0.81
3733	orogenic	187.43	5.54	0.88	0.59	0.93
3734	orogenic	192.63	5.09	0.79	0.74	0.55
3735	orogenic	126.43	13.8	0.63	0.49	2.64
3736	orogenic	110.01	20.82	1.7	0.72	0.74
3738	orogenic	91.03	14.74	1.45	0.82	0.53
3739	orogenic	147.94	17.6	2.25	0.8	0.7
3740	orogenic	112.52	16.41	0.6	0.63	1.3
3753	orogenic	110.46	17.85	1.53	0.73	1.73
3754	orogenic	122.36	16.47	1.42	0.72	2.52
3756	orogenic	119.76	15.73	1.13	0.62	1.58
3759	orogenic	99.89	17.96	2.24	0.78	1.01
3761	orogenic	94.44	18.43	2.85	0.83	0.32
3763	orogenic	1623.42	3.41	0.51	6.98	1.33
3767	orogenic	634.55	1.77	0.72	2.84	0.51
3770	orogenic	782.73	9.89	0.91	5.31	0.63
3771	orogenic	1714.92	3.13	0.64	8	0.99
3773	orogenic	249.32	2.67	0.81	2.83	0.37
3774	orogenic	249.32	2.67	0.81	2.83	0.37
3775	orogenic	454.56	2	0.88	3.61	0.57
3778	orogenic	606.89	2.94	0.76	2.88	0.44
3783	orogenic	452.47	2.15	0.78	3.25	0.61
3784	orogenic	516.16	2.69	0.82	4.93	0.45
3785	orogenic	387.73	2.34	0.83	2.91	0.27
3786	orogenic	387.73	2.34	0.83	2.91	0.27
3788	orogenic	1345.75	7.22	0.85	6.94	0.38
3789	orogenic	725.85	4.28	0.82	3.94	0.58
3790	orogenic	556.12	3.85	0.8	3.87	0.35
3792	orogenic	1393.79	3.9	0.7	4.69	0.45
3798	orogenic	322.64	1.81	0.65	2.26	0.5
3799	orogenic	559.44	5.49	0.79	3.93	0.8
3803	orogenic	420.39	2.15	0.82	2.56	0.26
3805	orogenic	648.54	4.35	0.78	3.73	0.29
3807	orogenic	822.09	3.45	0.65	2.82	0.31
3808	orogenic	822.09	3.45	0.65	2.82	0.31
3809	orogenic	450.92	2.57	0.73	2.7	0.32
3810	orogenic	407.71	2.35	0.71	2.56	0.37
3811	orogenic	789.44	2.8	0.79	3.66	0.42
3812	orogenic	789.44	2.8	0.79	3.66	0.42
3813	orogenic	675.37	5.8	0.87	5	0.53
3816	orogenic	662.35	2.89	0.79	3.84	0.35
3817	orogenic	662.35	2.89	0.79	3.84	0.35
3821	orogenic	111.94	1.92	0.69	1.61	0.53
3822	orogenic	552.85	3.45	0.71	3.13	0.32
3823	orogenic	552.85	3.45	0.71	3.13	0.32
3824	orogenic	374.38	2.15	0.85	2.63	0.73
3825	orogenic	519.62	1.78	0.82	2.67	0.54
3826	orogenic	519.62	1.78	0.82	2.67	0.54
3827	orogenic	741.96	2.22	0.66	3.1	0.35
3828	orogenic	741.96	2.22	0.66	3.1	0.35
3829	orogenic	359.13	2.13	0.74	2.48	0.57
3831	orogenic	119.56	6.13	0.79	1.57	0.9
3832	orogenic	158.45	1.78	0.57	1.94	0.36
3833	orogenic	130.99	3.78	1.18	1.64	1.58
3834	orogenic	370.4	2.59	0.8	2.71	0.31
3835	orogenic	370.4	2.59	0.8	2.71	0.31
3847	orogenic	53.57	2.6	0.75	1.09	0.27
3848	orogenic	412.78	2.31	0.36	1.09	0.32
3850	orogenic	71.91	5.19	3.47	1.1	0.41
3851	orogenic	201.79	6.35	0.75	1.25	0.45
3854	orogenic	137.66	5.39	0.7	1.56	0.33
3857	orogenic	196.48	6.86	0.46	1.5	0.54
3860	orogenic	168.47	6.25	0.53	1.43	0.28
3861	orogenic	103.72	5.03	0.41	1.32	0.3
3862	orogenic	103.81	5.77	0.67	1.26	0.34
3863	orogenic	52.81	6.81	1.59	1.3	0.72
3867	orogenic	257.88	5.75	0.57	1.3	1.06
3868	orogenic	125.6	7.07	0.55	1.48	0.32
3870	orogenic	138.11	5.43	0.7	1.22	0.68
3871	orogenic	90.23	5.48	0.55	1.48	0.42
3872	orogenic	52.04	1.97	0.51	1.29	0.56
3873	orogenic	91.59	6.36	0.74	1.64	0.34
3874	orogenic	92.53	6.35	0.75	1.64	0.35
3878	orogenic	212.29	4.96	0.87	1.94	0.7
3880	orogenic	191.22	6.07	0.72	1.46	0.47
3883	orogenic	209.86	5.19	0.74	1.27	0.43
3884	orogenic	118.94	8.32	0.45	1.37	0.6
3886	orogenic	386.74	7.79	0.77	2	1.15
3887	orogenic	425.47	8.49	0.55	1.82	1.26
3888	orogenic	223.07	3.8	0.8	1.19	0.36
3910	orogenic	3143.73	2.3	0.99	0.75	6.4
3912	orogenic	2331.64	1.85	0.99	12.42	1.33
3979	orogenic	97.86	1.56	0.4	1.42	0.43
3983	orogenic	57.47	1.62	0.43	1.23	0.84
3991	orogenic	201.82	2.49	0.37	1.18	1.62
4006	orogenic	77.03	3.84	0.42	0.45	0.37
4022	pegmatite	214.14	8.71	4.15	3.15	0.4
4023	pegmatite	245.87	12.43	8.35	3.06	0.32
4024	pegmatite	307.33	9.93	2.65	2.89	0.86
4025	pegmatite	370.12	14.47	3.58	2.83	0.66
4026	pegmatite	407.54	14.28	3.2	2.92	0.68
4027	pegmatite	260.67	11.3	7.89	3.17	0.35
4028	pegmatite	411.27	10.26	5.35	3.26	0.77
4029	pegmatite	417.8	8.82	2.22	3.05	0.99
4030	pegmatite	262.46	8.69	4.24	3.01	0.33
4031	pegmatite	339.55	11.25	4.21	2.98	1.17
4032	pegmatite	232.24	11.61	5.99	2.92	0.35
4033	pegmatite	242.48	10.49	3.47	3.03	1.84
4034	pegmatite	121.44	17.91	3.97	3.36	0.55
4035	pegmatite	405.73	15.02	2.61	2.66	0.59
4036	pegmatite	159.49	9.88	1.57	2.54	1.73
4037	pegmatite	135.15	5.11	0.53	2.88	2.16
4038	pegmatite	257.11	15.3	4.36	3.71	0.99
4042	granite	288	26.1	39.6	1.87	0.02
4044	granite	1091	49.05	39.7	2.18	0.021
4049	granite	195	9.355	13.2	1.97	0.091
4051	granite	366	10.07	15.8	2.24	0.084
4056	granite	180	9.405	17.1	2.05	0.037
4061	granite	100	8.89	9.79	2.1	0.021
4062	granite	426	12.5	13.7	2.46	0.054
4071	granite	339	8.565	20.9	2.15	0.032
4085	granite	279	8.915	10.8	1.88	0.025
4089	granite	277	9.18	8.47	1.89	0.056
4090	granite	409	9.4	11.2	1.8	0.02
4091	granite	260	8.595	8.53	1.76	0.021
4093	granite	564	20.65	10	2.59	0.037
4094	granite	205	7.22	9.45	1.15	0.109
4095	granite	252	8.08	14	1.7	0.041
4100	greisen	237	7.27	16.8	1.47	0.83
4101	greisen	787	4.75	31.1	2.2	0.179
4104	greisen	283	8.28	29.7	2.15	0.041
4105	greisen	313	8.32	23.3	1.91	0.297
4106	greisen	271	8.18	14.1	1.5	0.1
4108	greisen	175	7.16	10.6	1.91	0.047
4111	greisen	562	10.115	9.38	2.19	0.061
4117	greisen	187	5.39	12.3	1.86	0.019
4123	greisen	131	6.56	5.88	1.46	0.024
4124	greisen	351	6.865	18.4	1.6	0.072
4126	pegmatite	1333	26.6	79.3	3.04	0.15
4129	pegmatite	1199	19.3	109	2.83	0.209
4131	pegmatite	1252	20.85	114	2.69	0.146
4135	pegmatite	1458	18.25	70.4	2.49	0.132
4140	pegmatite	465	13.7	47.7	2.43	0.024
4142	pegmatite	431	14.7	17.2	2.36	0.097
4149	pegmatite	1455	18.55	93.3	2.2	0.061
4153	pegmatite	215	21.15	18.7	2.04	0.031
4156	pegmatite	397	41.5	47	1.99	0.028
4165	pegmatite	332	46	11.9	1.78	0.031
4167	pegmatite	107	13.5	7.04	1.77	0.049
4169	pegmatite	281	30.5	42	1.73	0.015
4176	pegmatite	344	37.55	35.5	1.31	0.032
4191	epithermal	1941	3	4.2	9	0.16
4192	epithermal	1672	5.9	1.6	8.7	0.12
4197	epithermal	2098	6.3	3.9	7.7	0.01
4201	epithermal	1575	2.7	1.9	7.5	0.18
4204	epithermal	1575	2.3	1.9	7	0.07
4207	epithermal	1385	2	4.3	6.7	0.02
4208	epithermal	967	1.9	4.7	6.7	0.01
4210	epithermal	1280	2.1	8.5	6.5	0.35
4214	epithermal	910	1.6	1	6	0.02
4216	epithermal	1577	4.2	3.2	5.7	0.11
4219	epithermal	1407	2.9	2.5	5.6	0.2
4224	epithermal	1347	3.2	0.71	5.3	0.02
4228	epithermal	1678	5.3	2.4	4.9	0.02
4230	epithermal	1167	1.8	1.1	4.7	0.05
4234	epithermal	975	3.2	1.1	4.4	0.03
4236	epithermal	719	1.6	3	4.2	0.01
4237	epithermal	588	1.5	6.1	4.1	0.01
4241	epithermal	833	1.7	1.3	3.8	0.05
4247	epithermal	1570	4.7	2.1	3.7	0.02
4249	epithermal	384	2.3	2.5	3.6	0.03
4252	epithermal	973	1.9	0.69	3.5	0.01
4253	epithermal	1030	2.8	8.3	3.5	0.01
4256	epithermal	1362	2.8	12.4	3.1	0.01
4270	epithermal	412	4.6	3.9	2.4	0.01
4352	epithermal	54.044429	0.665	4.438228	7.343429	0.8771
5165	epithermal	253	12	1.4	2.8	0.94
5466	orogenic	740	8	7.9	16	1.2
5470	orogenic	510	1.9	11.2	22	8.5
5495	orogenic	166	1.4	3.7	19	0.08
5501	orogenic	142	19	9.6	11	0.27
5515	orogenic	67.6	0.64	8.2	2.7	0.071
5522	orogenic	17.8	1.24	0.25	2.8	0.08
5529	orogenic	40.6	3.8	0.39	4	0.038
5531	orogenic	32.3	1.62	0.61	2.01	0.0257
5551	orogenic	37.5	2.88	1.57	1.54	0.101
5554	orogenic	11.63	1.53	0.07	1.24	0.028
5555	orogenic	10.3	1.56	0.063	1.3	0.09
5556	orogenic	10.9	1.4	0.119	1.73	0.07
5557	orogenic	10.8	1.59	0.073	1.28	0.0137
5559	orogenic	240	9	12.3	17	0.65
5567	orogenic	28.8	2.3	1.54	1.65	0.0155
5569	orogenic	37.4	3.51	0.93	2.02	0.09
5580	orogenic	270	16	4	18	0.35
5602	orogenic	316	4.9	3.6	20	3.2
5605	orogenic	80	3.4	0.37	4.8	0.4
5619	orogenic	35.9	1.98	0.465	1.18	0.144
5622	orogenic	17.9	2.01	0.16	1.58	0.08
5623	orogenic	14.4	1.45	0.72	1.69	0.02
5624	orogenic	23.5	1.83	0.492	1.42	0.138
5625	orogenic	25.1	1.88	0.07	0.93	0.214
5626	orogenic	20.34	1.53	0.584	2.26	0.053
5627	orogenic	11.7	1.84	0.046	2.2	0.42
5628	orogenic	21.48	1.37	0.24	2.7	0.092
5630	orogenic	28.8	1.03	0.581	2.13	0.401
5631	orogenic	55	1.2	1.87	2.58	0.237
5632	orogenic	12.8	1.55	0.142	1.72	0.105
5633	orogenic	20.3	1.27	0.273	1.92	0.237
5635	orogenic	15.65	1.22	0.067	2.03	0.39
5636	orogenic	37.5	1.57	1.47	1.47	0.382
5637	orogenic	11.91	1.08	0.128	2.13	0.041
5638	orogenic	15.7	1.55	0.189	1.93	0.157
5640	orogenic	23.69	1.02	0.259	2.2	0.169
5642	orogenic	25.1	1.15	0.093	1.85	0.401
5643	orogenic	17.86	1.48	0.11	2.08	0.115
5647	orogenic	36.9	1.37	0.53	2.22	0.067
5651	orogenic	19.98	1.22	0.183	1.76	0.094
5652	orogenic	10.89	1.24	0.049	1.47	0.077
5653	orogenic	15.74	1.22	0.03	1.36	0.265
5654	orogenic	12.32	1.17	0.062	1.3	0.135
5655	orogenic	11.96	1.03	0.096	1.86	0.48
5656	orogenic	26.81	1.19	0.17	1.95	0.724
5657	orogenic	26	1.51	0.675	1.58	0.0108
5658	orogenic	35.96	1.96	2.79	1.71	0.0203
5659	orogenic	37.92	1.92	1.06	1.74	0.001
5661	orogenic	19.64	1.46	0.3	1.63	0.0024
5662	orogenic	11.06	1.5	0.146	1.93	0.096
5664	orogenic	5.84	1.53	0.058	1.47	0.071
5665	orogenic	36.4	1.82	5.03	1.92	0.0005
5666	orogenic	33.89	1.8	1.5	1.43	0.0033
5667	orogenic	9.89	1.51	0.277	1.4	0.179
5668	orogenic	26.96	1.7	0.915	1.89	0.026
5669	orogenic	6.81	1.32	0.526	1.5	0.0028
5670	orogenic	8.81	1.26	0.054	1.28	0.034
5671	orogenic	21.11	1.31	1.4	1.83	0.033
5672	orogenic	11.01	1.54	0.297	1.44	0.002
5673	orogenic	32.8	1.81	0.148	1.51	0.34
5674	orogenic	30.67	1.39	0.678	1.79	0.053
5675	orogenic	21.2	1.47	0.18	1.74	0.12
5676	orogenic	26.59	1.36	0.729	2.07	0.0142
5677	orogenic	24.39	1.44	1.56	1.55	0.0103
5679	orogenic	8.95	1.42	0.473	1.38	0.107
5680	orogenic	19.78	1.5	0.398	1.8	0.0124
5684	orogenic	29	1.5	1.45	1.45	0.074
5685	orogenic	10.72	1.61	0.62	1.53	0.021
5687	orogenic	15.6	1.57	2.18	1.94	0.06
5688	orogenic	25.24	1.47	2.02	1.97	0.0058
5689	orogenic	24.31	1.34	1.6	1.75	0.0087
5690	orogenic	7.11	1.35	0.286	1.37	0.0009
5691	orogenic	6.82	1.02	0.425	1.31	0.0057
5692	orogenic	13.6	0.96	0.233	1.27	0.0066
5694	orogenic	14.54	1.35	0.575	1.3	0.134
5695	orogenic	12.79	0.89	0.163	0.84	0.295
5696	orogenic	3.86	0.67	0.091	1.31	0.019
5697	orogenic	7.74	1.86	0.064	1.41	0.002
5740	skarn	572	38.866	4.417	1.019	2.139
5741	skarn	174	4.037	0.914	0.64	1.1
5742	skarn	273	15.736	6.739	0.682	0.408
5743	skarn	15.248	1.123	0.263	0.55	0.047
5744	skarn	22.036	0.758	0.745	0.511	0.895
5745	skarn	103	1.442	1.025	0.588	1.18
5746	skarn	118	0.239	0.288	0.794	4.077
5747	skarn	1207	1.272	13.709	4.162	11.065
5748	skarn	964	0.741	3.865	2.602	10.043
5749	skarn	354	10.457	1.67	1.649	3.452
5750	skarn	1062	3.018	11.352	1.9	10.178
5751	skarn	406	141	2.776	1.746	2.272
5752	skarn	1138	32.933	19.254	4.16	6.111
5753	skarn	637	0.53	10.387	2.378	6.455
5754	skarn	751	0.982	7.922	7.02	3.573
5755	skarn	145	0.57	1.062	1.223	4.77
5756	skarn	88.254	2.654	1.274	2.876	0.826
5757	skarn	587	4.905	14.794	7.46	2.174
5758	skarn	50.844	23.95	0.571	1.593	0.056
5759	skarn	260	30.791	3.015	2.62	4.429
5760	skarn	242	3.049	1.938	1.333	4.486
5761	skarn	181	65.933	3.157	1.828	0.607
5762	skarn	174	73.478	7.678	1.853	1.132
5763	skarn	374	23.484	4.098	1.608	1.131
5764	skarn	428	3.243	6.129	5.779	5.198
5765	skarn	527	11.015	13.097	9.14	3.349
5766	skarn	64.718	1.918	0.19	1.485	0.926
5767	skarn	406	2.361	5.032	1.99	4.864
5768	skarn	159	2.17	0.797	1.162	1.264
5769	skarn	475	0.694	10.054	3.107	4.116
5770	skarn	895	2.078	32.032	6.396	1.364
5771	skarn	133	0.12	2.826	3.146	0.309
5772	skarn	67.949	4.095	0.786	0.801	0.215
5773	skarn	557	11.422	11.748	5.271	1.466
5774	skarn	1905	13.253	18.429	2.959	2.045
5775	skarn	105	38.902	0.573	2.003	3.342
5776	skarn	882	4.458	15.41	3.562	6.082
5777	skarn	245	1.151	5.791	3.155	0.336
5778	skarn	229	1.607	4.628	2.364	0.173
5779	skarn	1335	3.36	27.684	6.679	8.755
5780	skarn	92.443	0.64	1.932	1.308	0.387
